.201.206.92 - - [04/Nov/2021:21:53:24 +0100] "GET /fr/recherche?q=benyah&limit=10&timestamp=1636059206529&ajaxSearch=1&id_lang=1 HTTP/1.1" 200 1576 "https://controltower.fr/fr/vibes-creator/3048-king-stanley-jah-give-us-the-power.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:53:39 +0100] "GET /3221-home_default/jules-i-jah-a-di-best.jpg HTTP/1.1" 200 17359 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:41 +0100] "GET /fr/commande HTTP/1.1" 200 12225 "https://controltower.fr/fr/recherche?controller=search&orderby=position&orderway=desc&search_query=benyah&submit_search=" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:44 +0100] "GET /fr/commande HTTP/1.1" 200 11601 "https://controltower.fr/fr/commande" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:46 +0100] "GET /fr/jah-works-promotion/2755-king-stanley-ruff-ting.html HTTP/1.1" 200 11539 "https://controltower.fr/fr/commande" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:48 +0100] "GET //modules/paypal/express_checkout/ajax.php?get_qty=1&id_product=2755&id_product_attribute=2817&_=1636059231020 HTTP/1.1" 200 226 "https://controltower.fr/fr/jah-works-promotion/2755-king-stanley-ruff-ting.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:49 +0100] "GET //modules/paypal/express_checkout/ajax.php?get_qty=1&id_product=2755&id_product_attribute=2817&_=1636059231021 HTTP/1.1" 200 226 "https://controltower.fr/fr/jah-works-promotion/2755-king-stanley-ruff-ting.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:53:48 +0100] "GET /fr/jah-works-promotion/2755-king-stanley-ruff-ting.html HTTP/1.1" 200 10958 "https://controltower.fr/fr/jah-works-promotion/2755-king-stanley-ruff-ting.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
216.244.66.226 - - [04/Nov/2021:21:53:51 +0100] "GET /3154-thickbox_default/jah-lloyd-black-moses.jpg HTTP/1.1" 200 132148 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
109.78.68.186 - - [04/Nov/2021:21:53:56 +0100] "-" 408 559 "-" "-"
49.7.44.254 - - [04/Nov/2021:21:53:56 +0100] "GET /2314-large_default/ashanti-selah-feat-the-samsonites-all-tribes-unite.jpg HTTP/1.1" 200 51725 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0"
109.78.68.186 - - [04/Nov/2021:21:54:00 +0100] "GET /en/35-king-alpha HTTP/1.1" 200 11402 "https://controltower.fr/en/36-moa-anbessa" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:03 +0100] "GET /en/35-king-alpha HTTP/1.1" 200 10822 "https://controltower.fr/en/35-king-alpha" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /475-home_default/king-alpha-shiv-manasa-pooja.jpg HTTP/1.1" 200 17055 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1003-home_default/sista-beloved-the-eye-of-the-storm.jpg HTTP/1.1" 200 16416 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1231-home_default/black-omolo-unity.jpg HTTP/1.1" 200 16567 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1810-home_default/king-alpha-aliens-attack.jpg HTTP/1.1" 200 20075 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1138-home_default/king-alpha-gods-and-beyond.jpg HTTP/1.1" 200 17462 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1152-home_default/iwarriyah-llllove.jpg HTTP/1.1" 200 20329 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /1150-home_default/iwarriyah-ii-trust-in-jah.jpg HTTP/1.1" 200 20886 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /355-home_default/king-alpha-freedom-road.jpg HTTP/1.1" 200 21199 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /3075-home_default/bobo-blackstar-new-material.jpg HTTP/1.1" 200 17267 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /3282-home_default/king-alpha-changing-times.jpg HTTP/1.1" 200 15703 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /688-home_default/fred-locks-evil-evil.jpg HTTP/1.1" 200 20447 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /3352-home_default/shaka-black-you-better-be-ready.jpg HTTP/1.1" 200 15820 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /3781-home_default/king-alpha-yoga-teacher.jpg HTTP/1.1" 200 14959 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4157-home_default/iwarriyah-movin-on.jpg HTTP/1.1" 200 15662 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4220-home_default/ras-mcbean-meets-king-alpha-jah-love.jpg HTTP/1.1" 200 12874 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4553-home_default/dub-judah-king-alpha-vanity.jpg HTTP/1.1" 200 15637 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4844-home_default/iwarriyah-sativa-weed.jpg HTTP/1.1" 200 14123 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4430-home_default/shaka-black-who-are-you.jpg HTTP/1.1" 200 18109 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4842-home_default/iwarriyah-iyah-warriyah.jpg HTTP/1.1" 200 13702 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /4901-home_default/king-alpha-illusions.jpg HTTP/1.1" 200 18474 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /5297-home_default/fikir-amlak-king-alpha-hear-me-chant.jpg HTTP/1.1" 200 16042 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /6262-home_default/king-alpha-king-of-ethiopia.jpg HTTP/1.1" 200 17235 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /6387-home_default/fikir-amlak-king-alpha-lalibela.jpg HTTP/1.1" 200 13170 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /5956-home_default/king-alpha-ganesh-mantra.jpg HTTP/1.1" 200 15351 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:04 +0100] "GET /7078-home_default/linval-thompson-king-alpha-jah-is-the-conqueror.jpg HTTP/1.1" 200 15654 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:05 +0100] "GET /6517-home_default/king-lorenzo-king-alpha-jah-works.jpg HTTP/1.1" 200 17559 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:05 +0100] "GET /6637-home_default/king-alpha-universal-law.jpg HTTP/1.1" 200 13253 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:05 +0100] "GET /7084-home_default/old-school-meets-new-school.jpg HTTP/1.1" 200 17633 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
109.78.68.186 - - [04/Nov/2021:21:54:05 +0100] "GET /7282-home_default/tena-stelin-meets-king-alpha-nibiru.jpg HTTP/1.1" 200 10284 "https://controltower.fr/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
54.36.148.50 - - [04/Nov/2021:21:54:13 +0100] "GET /2941-cart_default/bukkha-feat-killa-p-death-chat.jpg HTTP/1.1" 200 8503 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
54.36.148.60 - - [04/Nov/2021:21:54:14 +0100] "GET /fr/khaliphonic/1296-sounds-from-the-well.html HTTP/1.1" 200 15464 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
216.244.66.226 - - [04/Nov/2021:21:54:14 +0100] "GET /3212-thickbox_default/brinsley-ford-promised-land.jpg HTTP/1.1" 200 91748 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
109.78.68.186 - - [04/Nov/2021:21:54:20 +0100] "-" 408 559 "-" "-"
176.156.222.110 - - [04/Nov/2021:21:54:23 +0100] "POST /admincontrol/ajax.php?rand=1636059257962 HTTP/1.1" 200 932 "https://controltower.fr/admincontrol/index.php?controller=AdminOrders&id_order=6564&vieworder&token=e792fee3cdafab3e973b81a1e80cd388" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0"
109.78.68.186 - - [04/Nov/2021:21:54:25 +0100] "-" 408 575 "-" "-"
109.78.68.186 - - [04/Nov/2021:21:54:25 +0100] "-" 408 575 "-" "-"
109.78.68.186 - - [04/Nov/2021:21:54:26 +0100] "-" 408 575 "-" "-"
109.78.68.186 - - [04/Nov/2021:21:54:26 +0100] "-" 408 575 "-" "-"
109.78.68.186 - - [04/Nov/2021:21:54:26 +0100] "-" 408 575 "-" "-"
109.78.68.186 - - [04/Nov/2021:21:54:26 +0100] "-" 408 5354 "-" "-"
207.46.13.99 - - [04/Nov/2021:21:54:27 +0100] "GET /3299-thickbox_default/mighty-massa-stepping-out.jpg HTTP/1.1" 200 138625 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
176.156.222.110 - - [04/Nov/2021:21:54:29 +0100] "POST /admincontrol/ajax.php?rand=1636059264226 HTTP/1.1" 200 932 "https://controltower.fr/admincontrol/index.php?controller=AdminOrders&id_order=5614&vieworder&token=e792fee3cdafab3e973b81a1e80cd388" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0"
216.244.66.226 - - [04/Nov/2021:21:54:35 +0100] "GET /328-thickbox_default/nishka-who-jah-bless.jpg HTTP/1.1" 200 111433 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
176.156.222.110 - - [04/Nov/2021:21:54:52 +0100] "POST /admincontrol/ajax.php?rand=1636059286569 HTTP/1.1" 200 932 "https://controltower.fr/admincontrol/index.php?controller=AdminEnvoiMoinsCher&id_order=8856&option=send&token=27d7475b073347ae85ef86e2e2b9fb80" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
77.205.41.49 - - [04/Nov/2021:21:54:54 +0100] "GET /img/favicon.ico?1562658293 HTTP/1.1" 200 6533 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/38.1  Mobile/15E148 Safari/605.1.15"
216.244.66.226 - - [04/Nov/2021:21:54:55 +0100] "GET /335-thickbox_default/cedric-mython-one-nation.jpg HTTP/1.1" 200 111898 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
85.201.206.92 - - [04/Nov/2021:21:54:55 +0100] "POST /?rand=1636059297387 HTTP/1.1" 200 1660 "https://controltower.fr/fr/commande" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:54:57 +0100] "GET /fr/dub-o-matic-roots-vibes-records/3047-michael-exodus-meets-shanti-lion-jah-glory.html HTTP/1.1" 200 12272 "https://controltower.fr/fr/commande" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:55:00 +0100] "GET //modules/paypal/express_checkout/ajax.php?get_qty=1&id_product=3047&id_product_attribute=3107&_=1636059302356 HTTP/1.1" 200 226 "https://controltower.fr/fr/dub-o-matic-roots-vibes-records/3047-michael-exodus-meets-shanti-lion-jah-glory.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:55:00 +0100] "GET //modules/paypal/express_checkout/ajax.php?get_qty=1&id_product=3047&id_product_attribute=3107&_=1636059302357 HTTP/1.1" 200 226 "https://controltower.fr/fr/dub-o-matic-roots-vibes-records/3047-michael-exodus-meets-shanti-lion-jah-glory.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
85.201.206.92 - - [04/Nov/2021:21:55:00 +0100] "GET /fr/dub-o-matic-roots-vibes-records/3047-michael-exodus-meets-shanti-lion-jah-glory.html HTTP/1.1" 200 10823 "https://controltower.fr/fr/dub-o-matic-roots-vibes-records/3047-michael-exodus-meets-shanti-lion-jah-glory.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
54.36.148.35 - - [04/Nov/2021:21:55:03 +0100] "GET /fr/amoul-bayi-records/2389-nzolani-brothers-kinsoundi-barrage.html HTTP/1.1" 200 15246 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
176.156.222.110 - - [04/Nov/2021:21:55:08 +0100] "POST /admincontrol/ajax.php?rand=1636059302572 HTTP/1.1" 200 932 "https://controltower.fr/admincontrol/index.php?controller=AdminProducts&token=c2d067f3456da21c5a4b065fb6365bbc&conf=5" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
81.185.167.218 - - [04/Nov/2021:21:55:07 +0100] "GET /fr/ HTTP/1.1" 200 314240 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
54.36.148.41 - - [04/Nov/2021:21:55:10 +0100] "GET /2942-cart_default/bukkha-feat-killa-p-death-chat.jpg HTTP/1.1" 200 8695 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
81.185.167.218 - - [04/Nov/2021:21:55:11 +0100] "GET /themes/theme-HDC/js/index.js HTTP/1.1" 200 948 "https://controltower.fr/fr/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
216.244.66.226 - - [04/Nov/2021:21:55:13 +0100] "GET /3448-thickbox_default/moonshot-allstars-the-begining.jpg HTTP/1.1" 200 103335 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
81.185.167.218 - - [04/Nov/2021:21:55:12 +0100] "GET /fr/ HTTP/1.1" 200 308085 "https://controltower.fr/fr/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
176.156.222.110 - - [04/Nov/2021:21:55:16 +0100] "POST /admincontrol/ajax.php?rand=1636059310573 HTTP/1.1" 200 932 "https://controltower.fr/admincontrol/index.php?controller=AdminDashboard&token=c282dec7df001df68582fc635ae6dc7c" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
